|№|Տարի|Русский|Հայերեն|
|22|1985|**Концерт №1**<br>для фортепиано и камерного оркестра<br>Категория: Концерт|**Կոնցերտ №1**<br>դաշնամտրի և կամերային նվագախմբի համար<br>Կատեգորիա: Կոնցերտ|
|23|1990|**Концерт №2**<br>для фортепиано и струнного оркестра<br>Категория: Концерт|**Կոնցերտ №2**<br>դաշնամտրի և լարային նվագախմբի համար<br>Կատեգորիա: Կոնցերտ|
|24|1991|**Концерт №3**<br>для фортепиано и камерного оркестра<br>Категория: Концерт|**Կոնցերտ №3**<br>դաշնամտրի և կամերային նվագախմբի համար<br>Կատեգորիա: Կոնցերտ|
|25|1993|**Концерт №4**<br>для фортепиано и симфонического оркестра<br>Категория: Концерт|**Կոնցերտ №4**<br>դաշնամտրի և սիմֆոնիկ նվագախմբի համար<br>Կատեգորիա: Կոնցերտ|
|26|1994|**Концерт №1**<br>для скрипки и камерного оркестра<br>Категория: Концерт|**Կոնցերտ №1**<br>ջութակի և կամերային նվագախմբի համար<br>Կատեգորիա: Կոնցերտ|
|27|2002|**Концерт №2**<br>для скрипки и симфонического оркестра<br>Категория: Концерт|**Կոնցերտ №2**<br>ջութակի և սիմֆոնիկ նվագախմբի համար<br>Կատեգորիա: Կոնցերտ|
|28|2017|**Концерт №3**<br>для скрипки и камерного оркестра<br>Категория: Концерт|**Կոնցերտ №3**<br>ջութակի և կամերային նվագախմբի համար<br>Կատեգորիա: Կոնցերտ|
|29|1995|**Концерт**<br>для виолончели и камерного оркестра<br>Категория: Концерт|**Կոնցերտ**<br>թավջութակի և կամերային նվագախմբի համար<br>Կատեգորիա: Կոնցերտ|
|30|2016|**Концерт №1**<br>для органа и камерного оркестра<br>Категория: Концерт|**Կոնցերտ №1**<br>երգեհոնի և կամերային նվագախմբի համար<br>Կատեգորիա: Կոնցերտ|
|31|2017|**Концерт №2**<br>для органа и камерного оркестра<br>Категория: Концерт|**Կոնցերտ №2**<br>երգեհոնի և կամերային նվագախումբի համար<br>Կատեգորիա: Կոնցերտ|
|32|1995|**Концерт**<br>для восьми инструментов<br>Флейта, гобой, кларнет, фагот, валторна, клавесин, скрипка, виолончель<br>Категория: Концерт|**Կոնցերտ**<br>ութ գործիքի համար<br>ֆլեյտա, հոբոյ, կլարնետ, ֆագոտ, գալարափող, կլավեսին, ջութակ, թավջութակ<br>Կատեգորիա: Կոնցերտ|
|33|2002|**Концерт**<br>для струнного оркестра<br>Категория: Концерт|**Կոնցերտ**<br>լարային նվագախումբի համար<br>Կատեգորիա: Կոնցերտ|
|34|1990|**Реквием**<br>для женского хора, солистки сопрано и камерного оркестра<br><br>Слова:<ul><li>Аветик Исаакян</li></ul><br>Категория: Камерные сочинения|**Ռեքվիեմ**<br>կանանց երգչախմբի, մեներգչուհի սոպրանոյի և կամերային նվագախումբի համար<br><br>Խոսք:<ul><li>Ավետիք Իսահակյան</li></ul><br>Կատեգորիա: կամերային երկեր|
|35|1990|**Шутка**<br>для женского хора и камерного оркестра<br>Без слов<br>Категория: Камерные сочинения|**Կատակ**<br>կանանց երգչախումբի և կամերային նվագախումբի համար<br>Ան խոսք<br>Կատեգորիա: կամերային երկեր|
|36|1995|**Камерная кантата №1 «Из глубин сердца»**<br>По «Книге скорбных песнопений» Григора Нарекаци<br>Категория: Камерные кантаты|**Կամերային կանտատ №1 «Ի խորոց սրտի»**<br>ըստ Գր. Նարեկացու «Մատյան Ողբերգություն»<br>Կատեգորիա: Կամերային կանտատ|
|37|1996|**Камерная кантата №2 «Аллилуйя»**<br>На слова из армянской Литургии<br>Категория: Камерные кантаты|**Կամերային կանտատ №2 «Ալելույա»**<br>հայկական Պատարագի խոսքերով<br>Կատեգորիա: Կամերային կանտատ|
|38|1998|**Камерная кантата №3**<br><br>Слова:<ul><li>Мисак Мецаренц</li></ul><br>Категория: Камерные кантаты|**Կամերային կանտատ №3**<br><br>Խոսք:<ul><li>Միսաք Մեծարենց</li></ul><br>Կատեգորիա: Կամերային կանտատ|
|39|1990|**Високосный год**<br>для симфонического оркестра<br>Категория: Симфонические сочинения|**Նահանջ տարի**<br>սիմֆոնիկ նվագախմբի համար<br>Կատեգորիա: Սիմֆոնիկ երկեր|
|40|1996|**Элегия**<br>для симфонического оркестра<br>Категория: Симфонические сочинения|**Եղերերգ**<br>սիմֆոնիկ նվագախմբի համար<br>Կատեգորիա: Սիմֆոնիկ երկեր|
|41|2000|**Adagio**<br>для симфонического оркестра<br>Категория: Симфонические сочинения|**Adagio**<br>սիմֆոնիկ նվագախմբի համար<br>Կատեգորիա: Սիմֆոնիկ երկեր|
|42|2000|**Presto**<br>для симфонического оркестра<br>Категория: Симфонические сочинения|**Presto**<br>սիմֆոնիկ նվագախմբի համար<br>Կատեգորիա: Սիմֆոնիկ երկեր|
|43|2000|**Прелюдия и фуга**<br>для симфонического оркестра<br>Категория: Симфонические сочинения|**Պրելյուդ և ֆուգա**<br>սիմֆոնիկ նվագախմբի համար<br>Կատեգորիա: Սիմֆոնիկ երկեր|
|44|2006|**Пассакалья и фуга**<br>для симфонического оркестра<br>Категория: Симфонические сочинения|**Պասսակալիա և ֆուգա**<br>սիմֆոնիկ նվագախմբի համար<br>Կատեգորիա: Սիմֆոնիկ երկեր|
|45|2011|**Псалом**<br>для симфонического оркестра<br>Категория: Симфонические сочинения|**Սաղմոս**<br>սիմֆոնիկ նվագախմբի համար<br>Կատեգորիա: Սիմֆոնիկ երկեր|
|46|2012|**Пассакалья**<br>для симфонического оркестра<br>Категория: Симфонические сочинения|**Պասսակալիա**<br>սիմֆոնիկ նվագախմբի համար<br>Կատեգորիա: Սիմֆոնիկ երկեր|
|47|2015|**Чакона**<br>для симфонического оркестра<br>Категория: Симфонические сочинения|**Չակոնա**<br>սիմֆոնիկ նվագախմբի համար<br>Կատեգորիա: Սիմֆոնիկ երկեր|
|48|2015|**Псалом**<br>для хора и симфонического оркестра<br>По 23 псалму Давида. Номер псалма указан в соответствии с армянской нумерацией псалмов. В Септуагинте (и русскоязычной версии Псалтири) ему соответствует 22 псалом.<br>Категория: Симфонические сочинения|**Սաղմոս**<br>երգչախմբի և սիմֆոնիկ նվագախմբի համար<br>ըստ Դավթի №23 սաղմոսի<br>Կատեգորիա: Սիմֆոնիկ երկեր|
|49|2017|**Пассакалья и фуга №2**<br>для симфонического оркестра<br>Категория: Симфонические сочинения|**Պասսակալիա և ֆուգա №2**<br>սիմֆոնիկ նվագախմբի համար<br>Կատեգորիա: Սիմֆոնիկ երկեր|
|50|1996|**Элегия**<br>для флейты (или скрипки) и струнного оркестра<br>Категория: Камерные сочинения|**Եղերերգ**<br>ֆլեյտայի (կամ ջութակի) և լարային նվագախմբի համար<br>Կատեգորիա: կամերային երկեր|
|51|2005|**Многоточие**<br>для струнного оркестра<br>Категория: Камерные сочинения|**Բացմակետ**<br>լարային նվագախմբի համար<br>Կատեգորիա: կամերային երկեր|
|52|2006|**Грешен**<br>для струнного оркестра<br>Категория: Камерные сочинения|**Մեղա**<br>լարային նվագախմբի համար<br>Կատեգորիա: կամերային երկեր|
|53|2007|**Largo**<br>для виолончели и струнного оркестра<br>Категория: Камерные сочинения|**Largo**<br>թավջութակի և լարային նվագախմբի համար<br>Կատեգորիա: կամերային երկեր|
|54|2007|**Тихая молитва к Богоматери**<br>для струнного оркестра<br>Категория: Камерные сочинения|**Մեղմ աղոթք Տիրամորը**<br>լարային նվագախմբի համար<br>Կատեգորիա: կամերային երկեր|
|55|2008|**Пять духовных прелюдий и фуг**<br>для струнного оркестра<br>Категория: Камерные сочинения|**Հինգ հոգևոր պրելյուդ և ֆուգա**<br>լարային նվագախմբի համար<br>Կատեգորիա: կամերային երկեր|
|56|2004|**Квинтет**<br>для флейты, кларнета, скрипки, виолончели и фортепиано<br>Категория: Камерные сочинения|**Կվինտետ**<br> ֆլեյտայի, կլարնետի, ջութակի, թավջութակի և դաշնամուրի համար<br>Կատեգորիա: կամերային երկեր|
|57|1993|**Струнный квартет №1**<br>Категория: Камерные сочинения|**Լարային կվարտետ №1**<br>Կատեգորիա: կամերային երկեր|
|58|1997|**Струнный квартет №2**<br>Категория: Камерные сочинения|**Լարային կվարտետ №2**<br>Կատեգորիա: կամերային երկեր|
|59|1999|**Трио**<br>для двух виолончелей и фортепиано<br>Категория: Камерные сочинения|**Տրիո**<br>երկու թավջութակի և դաշնամուրի համար<br>Կատեգորիա: կամերային երկեր|
|60|2006|**Трио**<br>для скрипки, виолончели и фортепиано<br>Категория: Камерные сочинения|**Տրիո**<br>ջութակի, թավջութակի և դաշնամուրի համար<br>Կատեգորիա: կամերային երկեր|
|61|2010|**Соната**<br>для флейты и фортепиано<br>Категория: Сонаты|**Սոնատ**<br>ֆլեյտայի և դաշնամուրի համար<br>Կատեգորիա: Սոնատ|
|62|2005|**Соната**<br>для скрипки и фортепиано<br>Категория: Сонаты|**Սոնատ**<br>ջութակի և դաշնամուրի համար<br>Կատեգորիա: Սոնատ|
|63|2006|**Соната**<br>для виолончели и фортепиано<br>Категория: Сонаты|**Սոնատ**<br>թավջութակի և դաշնամուրի համար<br>Կատեգորիա: Սոնատ|
|64|1992|**Соната №1**<br>для фортепиано<br>Категория: Сонаты|**Սոնատ №1**<br>դաշնամուրի համար<br>Կատեգորիա: Սոնատ|
|65|2007|**Соната №2**<br>для фортепиано<br>Категория: Сонаты|**Սոնատ №2**<br>դաշնամուրի համար<br>Կատեգորիա: Սոնատ|
|66|1999|**Малая соната**<br>для фортепиано<br>Категория: Сонаты|**Փոքր սոնատ**<br>դաշնամուրի համար<br>Կատեգորիա: Սոնատ|
|67|2001|**Вокализ №1**<br>для сопрано и инструментального ансамбля<br>Категория: Камерные сочинения|**Վոկալիզ №1**<br>սոպրանոյի և գործիքային համույթի համար<br>Կատեգորիա: կամերային երկեր|
|68|2002|**Andante**<br>для инструментального ансамбля<br>Категория: Камерные сочинения|**Andante**<br>գործիքային համույթի համար<br>Կատեգորիա: կամերային երկեր|
|69|2002|**Колыбельная с гимном**<br>для инструментального ансамбля<br>Категория: Камерные сочинения|**Օրոր և օրհներգ**<br>գործիքային համույթի համար<br>Կատեգորիա: կամերային երկեր|
|70|2009|**Mysticos**<br>для инструментального ансамбля<br>Категория: Камерные сочинения|**Mysticos**<br>գործիքային համույթի համար<br>Կատեգորիա: կամերային երկեր|
|71|2011|**Эта странная музыка A.D.Es**<br>для инструментального ансамбля<br>Категория: Камерные сочинения|**Այս տարորինակ A. D. Es. երաժշտությունը**<br>գործիքային համույթի համար<br>Կատեգորիա: կամերային երկեր|
|72|2014|**К Алле**<br>для инструментального ансамбля<br>Категория: Камерные сочинения|**Ալլային**<br>գործիքային համույթի համար<br>Կատեգորիա: կամերային երկեր|
|73|2015|**Воплощение**<br>для инструментального ансамбля<br>Категория: Камерные сочинения|**Մարմնացուն**<br>գործիքային համույթի համար<br>Կատեգորիա: կամերային երկեր|
|74|2016|**Молитва Богородице для Мариамик**<br>для инструментального ансамбля<br>Категория: Камерные сочинения|**Աղոթք Տիրամորը Մարիամիկ համար**<br>գործիքային համույթի համար<br>Կատեգորիա: կամերային երկեր|
|75|1994|**Семь китайских мелодий**<br>для инструментального ансамбля<br>Категория: Камерные сочинения|**Չինական յոթ մեղեդի**<br>գործիքային համույթի համար<br>Կատեգորիա: կամերային երկեր|
|76|2011|**Две армянские мелодии**<br>для сантура соло и инструментального ансамбля<br>Категория: Камерные сочинения|**Հայկական երկու մեղեդի**<br>մենանվագ սանթո ւրի և գործիքային համույթի համար<br>Կատեգորիա: կամերային երկեր|
|77|2006|**Четыре армянские народные песни**<br>для сопрано и инструментального ансамбля<br>Категория: Камерные сочинения|**Հայկական ժողովրդական չորս երգ**<br>սոպրանոյի և գործիքային համույթի համար<br>Կատեգորիա: կամերային երկեր|
|78|2008|**Обработка фортепианной пьесы Э. Мирзояна "Грустный вальс"**<br>для инструментального ансамбля<br>Категория: Камерные сочинения|**Էղ. Միրզոյանի «Տխուր վալս» դաշնամուրային պիեսի մշակում**<br>գործիքային համույթի համար<br>Կատեգորիա: կամերային երկեր|
|79|2003|**Трагическая фуга**<br>для органа<br>Категория: Камерные сочинения|**Ողբերգական ֆուգա**<br>երգեհոնի համար<br>Կատեգորիա: կամերային երկեր|
|80|2015|**Прелюдия и фуга**<br>для органа<br>Категория: Камерные сочинения|**Պրելյուդ և ֆուգա**<br>երգեհոնի համար<br>Կատեգորիա: կամերային երկեր|
|81|2012|**Две прелюдии и фуги**<br>для виолончели и фортепиано<br>Категория: Камерные сочинения|**Երկու պրելյուդ և ֆուգա**<br>թավջութակի և դաշնամուրի համար<br>Կատեգորիա: կամերային երկեր|
|82|2009|**Восемь молитв**<br>для фортепиано<br>Категория: Камерные сочинения|**Ութ աղոթք**<br>դաշնամուրի համար<br>Կատեգորիա: կամերային երկեր|
|83|2009|**Грустные мелодии многогрешного**<br>Десять пьес для фортепиано<br>Категория: Камерные сочинения|**Բազմամեղի տխուր մեղեդիները**<br>տասը պիես դաշնամուրի համար<br>Կատեգորիա: կամերային երկեր|
|84|2011|**Простая музыка**<br>Десять пьес для фортепиано<br>Категория: Камерные сочинения|**Պարզ երաժշտություն**<br>տասը պիես դաշնամուրի համար<br>Կատեգորիա: կամերային երկեր|
|85|2011|**Три этюда**<br>для фортепиано<br>Категория: Камерные сочинения|**Երեք էտյուդ**<br>դաշնամուրի համար<br>Կատեգորիա: կամերային երկեր|
|86|1996|**Токката**<br>для фортепиано<br>Категория: Камерные сочинения|**Տոկատ**<br>դաշնամուրի համար<br>Կատեգորիա: կամերային երկեր|
|87|1997|**Два романса**<br>для сопрано и фортепиано<br><br>Слова:<ul><li>Архиепископ Артак</li></ul><br>Категория: Камерные сочинения|**Երկու ռոմանս**<br>սոպրանոյի և դաշնամուրի համար<br><br>Խոսք:<ul><li>Արտակ Արքեպիսկոպոս</li></ul><br>Կատեգորիա: կամերային երկեր|
|88|1997|**Тишина взглядов твоих**<br>романс для сопрано и фортепиано<br><br>Слова:<ul><li>Седрак Ерканян</li></ul><br>Категория: Романс|**Լռութիւնը նայուածք ներուդ**<br>ռոմանս սոպրանոյի և դաշնամուրի համար<br><br>Խոսք:<ul><li>Սեդրակ Երկանյան</li></ul><br>Կատեգորիա: Ռոմանս|
|89|1997|**Псалом**<br>для меццо-сопрано и фортепиано<br>По 23 псалму Давида. Номер псалма указан в соответствии с армянской нумерацией псалмов. В Септуагинте (и русскоязычной версии Псалтири) ему соответствует 22 псалом.<br>Категория: Камерные сочинения|**Սղմոս**<br>մեձո-սոպրանոյի և դաշնամուրի համար<br>ըստ Դավթի №23 սաղմոսի<br>Կատեգորիա: կամերային երկեր|
|90|2005|**Две песни**<br>для сопрано и фортепиано<br><br>Слова:<ul><li>Анаит Латоян</li></ul><br>Категория: Камерные сочинения|**Երկու երգ**<br>սոպրանոյի և դաշնամուրի համար<br><br>Խոսք:<ul><li>Անահիտ Լաթոյան</li></ul><br>Կատեգորիա: կամերային երկեր|
|91|2007|**Вокализ**<br>для баса и фортепиано<br>Категория: Камерные сочинения|**Վոկալիզ**<br>բասի և դաշնամուրի համար<br>Կատեգորիա: կամերային երկեր|
|92|2010|**Роза**<br>Романс для баритона и фортепиано<br>Слова Й.В. Гёте (в пер. О. Туманяна)<br><br>Слова:<ul><li>Йохан Вольфганг Гёте</li></ul><br>Категория: Романс|**Վարդը**<br>ռոմանս բարիտոնի և դաշնամուրի համար<br>Խոսք Գյոթեյի Հովհ. Թումանյանի թարգմանությունը<br><br>Խոսք:<ul><li>Յոհան Վոլֆգանգ Գյոթե</li></ul><br>Կատեգորիա: Ռոմանս|
|93|2001|**Псалом**<br>для меццо-сопрано и фортепиано<br>По псалму №13 Давида (в варианте Септуагинты - псалом №12)<br>Категория: Камерные сочинения|**Սաղմոս**<br>մեձո-սոպրանոյի և դաշնամուրի համար<br>ըստ Դավթի №13 սաղմոսի<br>Կատեգորիա: կամերային երկեր|
|94|2000|**Элегия**<br>для детского хора<br>Без слов<br>Категория: Камерные сочинения|**Եղերերգ**<br>մանկական երգչախմբի համար<br>Ան խոսք<br>Կատեգորիա: կամերային երկեր|
|95|2008|**Токката**<br>для детского хора<br>Без слов<br>Категория: Камерные сочинения|**Տոկատ**<br>մանկական երգչախմբի համար<br>Ան խոսք<br>Կատեգորիա: կամերային երկեր|
|96|2008|**Отче наш**<br>для смешанного хора<br>Категория: Камерные сочинения|**Հայր մեր**<br>խառը երգչախմբի համար<br>Կատեգորիա: կամերային երկեր|
|97|2009|**Токката**<br>для смешанного хора<br>Без слов<br>Категория: Камерные сочинения|**Տոկատ**<br>խառը երգչախմբի համար<br>Ան խոսք<br>Կատեգորիա: կամերային երկեր|
|98|2018|**Трио**<br>для двух фортепиано и виолончели<br>Категория: Камерные сочинения|**Տրիո**<br>երկու դաշնամուրի և թավջութակի համար<br>Կատեգորիա: կամերային երկեր|
|99|2018|**Симфония №11 «Воскресение»**<br>Симфонический оркестр<br>Категория: Симфония|**Սիմֆոնիա №11 "Հարություն"**<br>Սիմֆոնիկ նվագախումբ<br>Կատեգորիա: Սիմֆոնիա|
